"title","year","duration_mins","imdb_rating","metascore","pg_rating","user_reviews_clean","critic_reviews_clean","budget_clean","gross_world_clean","gross_us_clean","opening_weekend_clean","sentiment_score","Genre_Adventure","Genre_Family","Genre_Fantasy","Genre_Comedy","Genre_Biography","Genre_Drama","Genre_History","Genre_Animation","Genre_Action","Genre_SciFi","Genre_Music","Genre_Musical","Genre_Romance","Genre_Horror","Genre_Thriller","Genre_Crime","Genre_Documentary","Genre_News","Genre_TalkShow","Genre_Mystery","Genre_Short","Genre_GameShow","Genre_RealityTV","Genre_Western","Genre_Sport","Genre_War","Genre_FilmNoir","Genre_Adult"
"Η Αλίκη επιστρέφει στη Χώρα των Θαυμάτων",2010,108,6.4,53,"PG",898,389,2e+08,1025468216,334191110,116101023,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Μπάρμπι",2023,114,6.8,80,"PG-13",1900,467,1e+08,1447138421,636238421,162022044,13,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coraline: Το σπίτι στην ομίχλη",2009,100,7.8,80,"PG",605,206,6e+07,188110696,116896576,16849640,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Αγώνες πείνας",2012,142,7.2,68,"PG-13",2300,452,7.8e+07,695220619,408010692,152535747,10,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Η Αλίκη μέσα από τον καθρέφτη",2016,113,6.2,34,"PG",294,256,1.7e+08,299820798,77041381,26858726,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο Τσάρλι και το εργοστάσιο σοκολάτας",2005,115,6.7,72,"NA",1600,277,1.5e+08,474968763,206459076,56178450,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maleficent",2014,97,6.9,56,"PG",889,439,1.8e+08,759853685,241410378,69431298,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Η Αλίκη στη Χώρα των Θαυμάτων",1951,75,7.3,68,"NA",268,101,3e+06,2507,NA,NA,19,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Η πεντάμορφη και το τέρας",2017,129,7.1,65,"PG",1300,536,1.6e+08,1266115964,504481165,174750616,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Η νεκρή νύφη",2005,77,7.4,83,"PG",638,265,4e+07,118435637,54342006,388166,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ψυχρά κι ανάποδα",2013,102,7.4,75,"PG",1300,422,1.5e+08,1286513286,400953009,243390,12,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Μις Πέρεγκριν: Στέγη για ασυνήθιστα παιδιά",2016,127,6.7,57,"NA",528,338,1.1e+08,296482446,87242834,28871140,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Σταχτοπούτα",2015,105,6.9,67,"PG",569,375,9.5e+07,542358331,201151353,67877361,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Το χρονικό της Νάρνια: Το λιοντάρι, η μάγισσα και η ντουλάπα",2005,143,6.9,75,"PG",1600,197,1.8e+08,745013115,291710957,65556312,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Μαλλιά κουβάρια",2010,100,7.7,71,"PG",643,327,2.6e+08,591806017,200821936,48767052,19,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oppenheimer",2023,180,8.2,90,"R",4500,508,1e+08,975811333,330078895,82455420,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La La Land",2016,128,8,94,"PG-13",2400,733,3e+07,522314583,151101803,881104,15,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Τα κακά κορίτσια",2004,97,7.1,66,"PG-13",857,111,1.7e+07,130195052,86058055,24432195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Τα πάντα όλα",2022,139,7.7,81,"NA",3900,424,14300000,142804136,77191785,501305,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wicked: Part I",2024,160,7.3,73,"PG",1500,262,1.5e+08,758790057,474983975,112508890,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
